iter	Passed	Remaining
384	2630	4201
385	2644	4206
386	2651	4199
387	2658	4193
388	2674	4200
389	2680	4192
390	2686	4184
391	2692	4175
392	2698	4168
393	2705	4161
394	2711	4153
395	2719	4147
396	2725	4140
397	2731	4131
398	2737	4124
399	2744	4117
400	2752	4111
401	2759	4104
402	2766	4098
403	2772	4089
404	2778	4082
405	2785	4075
406	2791	4067
407	2797	4059
408	2803	4051
409	2811	4045
410	2818	4038
411	2825	4032
412	2832	4025
413	2839	4018
414	2845	4011
415	2852	4004
416	2860	3999
417	2867	3992
418	2873	3984
419	2880	3977
420	2885	3969
421	2891	3960
422	2898	3953
423	2905	3946
424	2911	3939
425	2919	3933
426	2925	3926
427	2931	3918
428	2938	3911
429	2944	3903
430	2952	3897
431	2958	3890
432	2965	3882
433	2971	3874
434	2977	3867
435	2983	3859
436	2989	3851
437	2996	3844
438	3002	3836
439	3010	3832
440	3017	3825
441	3023	3817
442	3029	3809
443	3036	3802
444	3042	3794
445	3048	3786
446	3055	3779
447	3062	3772
448	3069	3767
449	3075	3759
450	3082	3752
451	3088	3744
452	3094	3736
453	3101	3729
454	3108	3723
455	3115	3716
456	3121	3709
457	3127	3700
458	3133	3693
459	3139	3685
460	3146	3678
461	3153	3672
462	3160	3665
463	3167	3658
464	3174	3651
465	3181	3645
466	3187	3638
467	3194	3631
468	3201	3624
469	3208	3617
470	3214	3610
471	3220	3602
472	3226	3595
473	3233	3588
474	3239	3580
475	3245	3573
476	3252	3565
477	3258	3558
478	3265	3551
479	3271	3544
480	3278	3537
481	3284	3529
482	3289	3521
483	3296	3514
484	3303	3508
485	3310	3501
486	3317	3494
487	3323	3486
488	3329	3479
489	3335	3471
490	3341	3464
491	3348	3457
492	3355	3451
493	3362	3443
494	3368	3436
495	3375	3430
496	3382	3423
497	3390	3417
498	3397	3411
499	3405	3405
500	3413	3399
501	3418	3391
502	3424	3384
503	3431	3376
504	3436	3368
505	3443	3361
506	3449	3354
507	3472	3363
508	3478	3355
509	3485	3349
510	3491	3341
511	3499	3335
512	3505	3328
513	3512	3320
514	3519	3314
515	3526	3308
516	3533	3301
517	3540	3294
518	3548	3289
519	3555	3282
520	3562	3275
521	3571	3270
522	3580	3265
523	3590	3261
524	3598	3255
525	3607	3250
526	3614	3243
527	3620	3236
528	3627	3230
529	3634	3223
530	3643	3217
531	3650	3211
532	3657	3204
533	3664	3197
534	3671	3190
535	3677	3183
536	3683	3175
537	3690	3168
538	3697	3162
539	3703	3154
540	3709	3147
541	3715	3140
542	3722	3132
543	3728	3125
544	3734	3117
545	3741	3110
546	3747	3103
547	3753	3095
548	3760	3088
549	3765	3081
550	3771	3073
551	3778	3066
552	3785	3059
553	3795	3055
554	3804	3050
555	3811	3043
556	3818	3036
557	3824	3029
558	3830	3021
559	3837	3014
560	3843	3007
561	3849	3000
562	3856	2993
563	3862	2986
564	3869	2979
565	3876	2972
566	3883	2965
567	3890	2959
568	3898	2952
569	3905	2945
570	3911	2938
571	3918	2931
572	3923	2923
573	3929	2916
574	3936	2909
575	3942	2901
576	3948	2894
577	3953	2886
578	3960	2879
579	3966	2872
580	3973	2865
581	3980	2858
582	3986	2851
583	3993	2844
584	4000	2838
585	4006	2830
586	4013	2823
587	4019	2816
588	4025	2808
589	4031	2801
590	4038	2794
591	4045	2788
592	4051	2780
593	4058	2773
594	4064	2766
595	4070	2759
596	4077	2752
597	4085	2746
598	4093	2740
599	4101	2734
600	4110	2728
601	4118	2722
602	4126	2716
603	4135	2711
604	4142	2704
605	4150	2698
606	4157	2691
607	4165	2685
608	4171	2678
609	4177	2670
610	4184	2663
611	4191	2657
612	4198	2650
613	4205	2643
614	4211	2636
615	4218	2629
616	4224	2622
617	4230	2615
618	4236	2607
619	4242	2600
620	4249	2593
621	4255	2586
622	4261	2578
623	4268	2571
624	4275	2565
625	4282	2558
626	4290	2552
627	4297	2545
628	4304	2539
629	4311	2531
630	4317	2524
631	4324	2518
632	4332	2511
633	4339	2504
634	4345	2498
635	4351	2490
636	4357	2483
637	4364	2476
638	4371	2469
639	4379	2463
640	4386	2456
641	4393	2450
642	4400	2442
643	4406	2436
644	4412	2428
645	4418	2421
646	4425	2414
647	4431	2406
648	4437	2399
649	4442	2392
650	4448	2385
651	4455	2377
652	4460	2370
653	4467	2363
654	4474	2356
655	4481	2350
656	4488	2343
657	4495	2336
658	4501	2329
659	4507	2321
660	4513	2314
661	4520	2307
662	4527	2301
663	4534	2294
664	4540	2287
665	4546	2280
666	4552	2272
667	4558	2265
668	4565	2258
669	4572	2252
670	4579	2245
671	4587	2238
672	4593	2232
673	4599	2224
674	4606	2217
675	4612	2210
676	4619	2204
677	4626	2197
678	4631	2189
679	4637	2182
680	4644	2175
681	4650	2168
682	4657	2161
683	4662	2154
684	4669	2147
685	4676	2140
686	4682	2133
687	4688	2126
688	4695	2119
689	4702	2112
690	4709	2105
691	4716	2099
692	4722	2092
693	4729	2085
694	4735	2078
695	4741	2070
696	4747	2063
697	4753	2056
698	4760	2050
699	4767	2043
700	4774	2036
701	4781	2029
702	4787	2022
703	4794	2015
704	4800	2008
705	4808	2002
706	4815	1995
707	4822	1988
708	4828	1981
709	4834	1974
710	4839	1967
711	4846	1960
712	4853	1953
713	4859	1946
714	4866	1939
715	4874	1933
716	4881	1926
717	4887	1919
718	4894	1912
719	4901	1905
720	4908	1899
721	4915	1892
722	4921	1885
723	4927	1878
724	4933	1871
725	4940	1864
726	4946	1857
727	4952	1850
728	4960	1843
729	4968	1837
730	4974	1830
731	4980	1823
732	4989	1817
733	4995	1810
734	5003	1803
735	5011	1797
736	5018	1790
737	5025	1784
738	5031	1777
739	5037	1769
740	5044	1763
741	5050	1756
742	5057	1749
743	5064	1742
744	5070	1735
745	5076	1728
746	5082	1721
747	5088	1714
748	5094	1707
749	5101	1700
750	5109	1693
751	5116	1687
752	5124	1680
753	5130	1673
754	5137	1667
755	5144	1660
756	5150	1653
757	5157	1646
758	5164	1639
759	5170	1632
760	5176	1625
761	5185	1619
762	5192	1612
763	5198	1605
764	5205	1598
765	5212	1592
766	5218	1585
767	5224	1578
768	5230	1571
769	5236	1564
770	5243	1557
771	5251	1550
772	5259	1544
773	5266	1537
774	5273	1530
775	5279	1524
776	5285	1516
777	5291	1509
778	5298	1503
779	5305	1496
780	5312	1489
781	5319	1482
782	5325	1475
783	5332	1469
784	5339	1462
785	5346	1455
786	5354	1449
787	5360	1442
788	5367	1435
789	5373	1428
790	5378	1421
791	5385	1414
792	5391	1407
793	5398	1400
794	5404	1393
795	5410	1386
796	5416	1379
797	5424	1373
798	5431	1366
799	5437	1359
800	5444	1352
801	5451	1345
802	5458	1339
803	5464	1332
804	5471	1325
805	5477	1318
806	5483	1311
807	5489	1304
808	5496	1297
809	5503	1290
810	5509	1283
811	5516	1277
812	5523	1270
813	5529	1263
814	5537	1256
815	5544	1250
816	5551	1243
817	5557	1236
818	5563	1229
819	5569	1222
820	5576	1215
821	5582	1208
822	5590	1202
823	5597	1195
824	5603	1188
825	5610	1181
826	5616	1174
827	5624	1168
828	5632	1161
829	5638	1154
830	5645	1148
831	5652	1141
832	5658	1134
833	5664	1127
834	5671	1120
835	5677	1113
836	5683	1106
837	5689	1099
838	5695	1092
839	5701	1085
840	5707	1079
841	5714	1072
842	5720	1065
843	5727	1058
844	5735	1052
845	5743	1045
846	5753	1039
847	5760	1032
848	5768	1025
849	5776	1019
850	5785	1012
851	5794	1006
852	5802	999
853	5809	993
854	5816	986
855	5823	979
856	5833	973
857	5843	967
858	5851	960
859	5857	953
860	5866	947
861	5872	940
862	5878	933
863	5885	926
864	5891	919
865	5897	912
866	5903	905
867	5910	898
868	5917	892
869	5925	885
870	5932	878
871	5941	872
872	5947	865
873	5953	858
874	5960	851
875	5966	844
876	5972	837
877	5979	830
878	5987	824
879	5994	817
880	6001	810
881	6007	803
882	6013	796
883	6020	790
884	6027	783
885	6037	776
886	6044	770
887	6050	763
888	6057	756
889	6063	749
890	6069	742
891	6076	735
892	6083	728
893	6089	722
894	6096	715
895	6102	708
896	6109	701
897	6116	694
898	6122	687
899	6129	681
900	6137	674
901	6143	667
902	6150	660
903	6158	653
904	6164	647
905	6170	640
906	6177	633
907	6183	626
908	6189	619
909	6195	612
910	6201	605
911	6207	598
912	6213	592
913	6220	585
914	6227	578
915	6235	571
916	6244	565
917	6252	558
918	6258	551
919	6264	544
920	6271	537
921	6278	531
922	6284	524
923	6291	517
924	6297	510
925	6303	503
926	6310	496
927	6317	490
928	6324	483
929	6333	476
930	6340	469
931	6348	463
932	6355	456
933	6360	449
934	6367	442
935	6373	435
936	6379	428
937	6386	422
938	6393	415
939	6399	408
940	6406	401
941	6412	394
942	6419	388
943	6426	381
944	6434	374
945	6442	367
946	6449	360
947	6455	354
948	6462	347
949	6470	340
950	6478	333
951	6486	327
952	6493	320
953	6499	313
954	6505	306
955	6513	299
956	6520	292
957	6529	286
958	6536	279
959	6544	272
960	6551	265
961	6558	259
962	6565	252
963	6571	245
964	6577	238
965	6583	231
966	6589	224
967	6595	218
968	6602	211
969	6608	204
970	6615	197
971	6623	190
972	6629	183
973	6636	177
974	6643	170
975	6649	163
976	6655	156
977	6662	149
978	6668	143
979	6674	136
980	6681	129
981	6687	122
982	6693	115
983	6699	108
984	6706	102
985	6713	95
986	6720	88
987	6727	81
988	6734	74
989	6740	68
990	6747	61
991	6753	54
992	6762	47
993	6769	40
994	6775	34
995	6782	27
996	6787	20
997	6793	13
998	6799	6
999	6806	0
