iter	Logloss
0	0.6842536463
1	0.6786859666
2	0.6708012183
3	0.6639837728
4	0.6557927573
5	0.6497328895
6	0.6431281063
7	0.6377419129
8	0.6300117256
9	0.6235161744
10	0.6181665698
11	0.6110818445
12	0.6044566901
13	0.5980627393
14	0.5937883631
15	0.588884415
16	0.5845615135
17	0.5801776723
18	0.576528231
19	0.5727852157
20	0.5677988674
21	0.5639607097
22	0.5599694221
23	0.5558720614
24	0.5519801757
25	0.5483098092
26	0.5448293166
27	0.5397558804
28	0.5367147814
29	0.5323389126
30	0.5288332444
31	0.5243465858
32	0.5210185227
33	0.5180240942
34	0.5151484799
35	0.5122174599
36	0.5080611304
37	0.5050887474
38	0.5012975691
39	0.498612569
40	0.496063308
41	0.4934079451
42	0.4915650843
43	0.4890525665
44	0.4855654485
45	0.4830364661
46	0.4804941554
47	0.4785245048
48	0.4759852485
49	0.4737923222
50	0.4715625537
51	0.4695068735
52	0.4670708699
53	0.4639714187
54	0.4621925486
55	0.4600848204
56	0.4575094952
57	0.4554695886
58	0.4540665946
59	0.4526408437
60	0.4502810419
61	0.4482833443
62	0.4464540796
63	0.4434563897
64	0.4410302649
65	0.4390846787
66	0.4379686394
67	0.4368122716
68	0.4352449804
69	0.4341364258
70	0.4329586393
71	0.4311121482
72	0.4292009594
73	0.4269219088
74	0.4256389659
75	0.4244902407
76	0.4228482299
77	0.421653891
78	0.420431788
79	0.4193245977
80	0.4178433932
81	0.4165868086
82	0.4154578597
83	0.4142445293
84	0.4123403514
85	0.4110529854
86	0.4091391557
87	0.4081903021
88	0.406343771
89	0.4046736344
90	0.4035934414
91	0.4017275522
92	0.3998688235
93	0.3988504767
94	0.3976654664
95	0.3964244402
96	0.3953166487
97	0.394048113
98	0.3934185412
99	0.3922561123
100	0.3912769428
101	0.3904385077
102	0.3894436031
103	0.3887816574
104	0.3876710438
105	0.3860009883
106	0.3853414284
107	0.3842289218
108	0.3834244332
109	0.3826542143
110	0.3816980649
111	0.3808896909
112	0.3799912017
113	0.3790644207
114	0.3775575432
115	0.3769030331
116	0.376204532
117	0.3751649092
118	0.3740879101
119	0.3730808279
120	0.3721371404
121	0.3712868327
122	0.3704773603
123	0.3697561661
124	0.3688899418
125	0.3681004753
126	0.3668327338
127	0.3658386057
128	0.365114452
129	0.3642421611
130	0.3636627764
131	0.3628238557
132	0.362003511
133	0.3608970368
134	0.3604387973
135	0.3597011108
136	0.3592744393
137	0.3587538554
138	0.3579716581
139	0.3573412095
140	0.3561753813
141	0.3555693122
142	0.3549622954
143	0.354401264
144	0.3535885708
145	0.3526144828
146	0.3515964761
